prisoner_id,case_cnr,prison_id,prison_name,prison_state,prison_district,prison_capacity,total_prison_population,occupancy_rate,overcrowding_level,available_beds,overcrowding_gap,undertrial_population,convict_population,eligibility_result,release_barrier
UTP-2026-0001,MAMU01-542417-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0002,MAMU01-407419-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0003,MAMU01-380746-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0004,MAMU01-379786-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0005,MAMU01-791798-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0006,MAMU01-922733-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0007,MAMU01-604740-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0008,MAMU01-185965-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Court hearing pending
UTP-2026-0009,MAMU01-212235-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0010,MAMU01-934794-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0011,MAMU01-172792-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0012,MAMU01-301158-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0013,MAMU01-534572-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0014,MAMU01-903013-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0015,MAMU01-611945-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0016,MAMU01-171951-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0017,MAMU01-143064-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0018,MAMU01-322423-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0019,MAMU01-878967-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0020,MAMU01-690180-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0021,MAMU01-545790-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0022,MAMU01-713762-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0023,MAMU01-402020-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0024,MAMU01-925981-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Court hearing pending
UTP-2026-0025,MAMU01-786587-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0026,MAMU01-814919-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0027,MAMU01-108491-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0028,MAMU01-409478-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Excluded_Life_Or_Death,
UTP-2026-0029,MAMU01-835132-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0030,MAMU01-772875-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0031,MAMU01-332311-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0032,MAMU01-865054-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0033,MAMU01-986438-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0034,MAMU01-265056-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
UTP-2026-0035,MAMU01-878086-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0036,MAMU01-207798-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,
UTP-2026-0037,MAMU01-949153-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0038,MAMU01-794299-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Blocked_Multiple_FIRs,
UTP-2026-0039,MAMU01-826501-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Eligible,Surety pending
UTP-2026-0040,MAMU01-332823-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Severe,0,506,996,314,Ineligible_Under_Time,
