prison_id,month,month_num,months_idx,capacity,population,undertrial_population,convict_population,occupancy_rate,overcrowding_gap,sec479_eligible,sec479_approaching,stuck_at_surety,intake_rate,release_rate,net_flow,seasonal_factor,ut_share
PRIS-DL-01,2024-09,9,0,740,1110,854,256,150.0,370,13,5,2,65,38,27,1.0,0.7698
PRIS-DL-01,2024-10,10,1,740,1178,875,303,159.19,438,13,3,2,48,27,21,0.985,0.7428
PRIS-DL-01,2024-11,11,2,740,1170,836,334,158.11,430,12,3,2,60,18,42,0.974,0.7146
PRIS-DL-01,2024-12,12,3,740,1125,941,184,152.03,385,15,3,4,30,13,17,0.97,0.8371
PRIS-DL-01,2025-01,1,4,740,1146,903,243,154.86,406,14,4,2,45,12,33,0.974,0.7887
PRIS-DL-01,2025-02,2,5,740,1171,882,289,158.24,431,14,5,2,47,30,17,0.985,0.7534
PRIS-DL-01,2025-03,3,6,740,1233,970,263,166.62,493,13,3,4,42,22,20,1.0,0.7867
PRIS-DL-01,2025-04,4,7,740,1197,869,328,161.76,457,14,6,2,71,39,32,1.015,0.7264
PRIS-DL-01,2025-05,5,8,740,1306,1027,279,176.49,566,17,3,3,32,46,-14,1.026,0.7869
PRIS-DL-01,2025-06,6,9,740,1332,952,380,180.0,592,16,3,3,43,42,1,1.03,0.715
PRIS-DL-01,2025-07,7,10,740,1344,1033,311,181.62,604,14,5,4,57,44,13,1.026,0.7692
PRIS-DL-01,2025-08,8,11,740,1308,1126,182,176.76,568,16,5,2,31,14,17,1.015,0.8614
PRIS-DL-01,2025-08,8,12,740,1269,1004,265,171.49,529,17,4,3,63,21,42,1.015,0.7915
PRIS-DL-01,2025-09,9,13,740,1320,995,325,178.38,580,15,3,5,69,38,31,1.0,0.7539
PRIS-DL-01,2025-10,10,14,740,1324,1019,305,178.92,584,18,8,3,32,22,10,0.985,0.7697
PRIS-DL-01,2025-11,11,15,740,1319,1053,266,178.24,579,16,7,2,53,29,24,0.974,0.7985
PRIS-DL-01,2025-12,12,16,740,1306,981,325,176.49,566,16,4,4,62,27,35,0.97,0.7516
PRIS-DL-01,2026-01,1,17,740,1335,1014,321,180.41,595,13,3,2,28,37,-9,0.974,0.7597
PRIS-DL-01,2026-02,2,18,740,1343,1021,322,181.49,603,17,4,3,53,53,0,0.985,0.7604
PRIS-DL-01,2026-03,3,19,740,1396,1093,303,188.65,656,15,6,2,68,29,39,1.0,0.7833
PRIS-DL-01,2026-04,4,20,740,1504,1206,298,203.24,764,17,7,3,41,16,25,1.015,0.802
PRIS-DL-01,2026-05,5,21,740,1478,1199,279,199.73,738,20,4,5,42,43,-1,1.026,0.8115
PRIS-DL-01,2026-06,6,22,740,1521,1114,407,205.54,781,18,4,3,37,57,-20,1.03,0.7328
PRIS-DL-01,2026-07,7,23,740,1499,1123,376,202.57,759,18,7,5,63,38,25,1.026,0.7496
PRIS-MH-01,2024-09,9,0,804,1072,840,232,133.33,268,18,7,5,59,35,24,1.0,0.7838
PRIS-MH-01,2024-10,10,1,804,1015,751,264,126.24,211,19,4,6,44,10,34,0.985,0.7399
PRIS-MH-01,2024-11,11,2,804,1063,785,278,132.21,259,23,9,4,51,18,33,0.974,0.7389
PRIS-MH-01,2024-12,12,3,804,1074,853,221,133.58,270,19,7,6,49,29,20,0.97,0.7951
PRIS-MH-01,2025-01,1,4,804,1064,784,280,132.34,260,17,8,3,59,30,29,0.974,0.7377
PRIS-MH-01,2025-02,2,5,804,1067,811,256,132.71,263,23,8,5,29,33,-4,0.985,0.7607
PRIS-MH-01,2025-03,3,6,804,1084,839,245,134.83,280,20,4,6,40,42,-2,1.0,0.7748
PRIS-MH-01,2025-04,4,7,804,1171,860,311,145.65,367,18,8,3,31,31,0,1.015,0.7349
PRIS-MH-01,2025-05,5,8,804,1176,907,269,146.27,372,20,7,6,30,30,0,1.026,0.7719
PRIS-MH-01,2025-06,6,9,804,1189,916,273,147.89,385,24,9,6,40,22,18,1.03,0.771
PRIS-MH-01,2025-07,7,10,804,1208,937,271,150.25,404,24,10,6,58,40,18,1.026,0.7757
PRIS-MH-01,2025-08,8,11,804,1324,994,330,164.68,520,26,8,4,57,14,43,1.015,0.7508
PRIS-MH-01,2025-08,8,12,804,1281,902,379,159.33,477,24,5,3,67,26,41,1.015,0.7043
PRIS-MH-01,2025-09,9,13,804,1132,862,270,140.8,328,19,8,3,50,14,36,1.0,0.7622
PRIS-MH-01,2025-10,10,14,804,1184,877,307,147.26,380,26,10,8,48,23,25,0.985,0.7408
PRIS-MH-01,2025-11,11,15,804,1202,890,312,149.5,398,24,7,3,25,46,-21,0.974,0.7405
PRIS-MH-01,2025-12,12,16,804,1202,945,257,149.5,398,20,4,4,50,37,13,0.97,0.7863
PRIS-MH-01,2026-01,1,17,804,1187,857,330,147.64,383,23,11,6,50,33,17,0.974,0.7225
PRIS-MH-01,2026-02,2,18,804,1168,871,297,145.27,364,24,4,4,25,13,12,0.985,0.7458
PRIS-MH-01,2026-03,3,19,804,1227,949,278,152.61,423,25,8,4,48,29,19,1.0,0.7736
PRIS-MH-01,2026-04,4,20,804,1274,920,354,158.46,470,26,10,4,44,36,8,1.015,0.7229
PRIS-MH-01,2026-05,5,21,804,1252,995,257,155.72,448,25,9,4,28,36,-8,1.026,0.7952
PRIS-MH-01,2026-06,6,22,804,1328,994,334,165.17,524,25,7,6,50,35,15,1.03,0.7487
PRIS-MH-01,2026-07,7,23,804,1358,1026,332,168.91,554,27,13,8,37,16,21,1.026,0.7558
PRIS-MH-05,2024-09,9,0,3178,2223,1702,521,69.95,0,21,4,6,69,30,39,1.0,0.7661
PRIS-MH-05,2024-10,10,1,3178,2205,1738,467,69.38,0,22,10,6,114,40,74,0.985,0.7884
PRIS-MH-05,2024-11,11,2,3178,2263,1671,592,71.21,0,15,6,3,129,80,49,0.974,0.7385
PRIS-MH-05,2024-12,12,3,3178,2150,1733,417,67.65,0,18,7,3,120,54,66,0.97,0.8064
PRIS-MH-05,2025-01,1,4,3178,2220,1750,470,69.86,0,19,3,6,52,43,9,0.974,0.7883
